Location,Transect,Plot,Latitude ,Longitude,Basal Area per acre,tree density / acre,tree density / plot,elevation_m_NAVD88,elevation_m_MHW
Pine Neck,1,1,40.843149,-72.563753,23.34,140,7,1.06,0.75
Pine Neck,1,2,40.843253,-72.563782,103.6,360,18,1.24,0.93
Pine Neck,1,3,40.843394,-72.563803,132.1,360,18,1.4,1.09
Ludlock Creek,1,1,40.734043,-73.127772,115.41,260,13,0.52,0.341
Ludlock Creek,1,2,40.734166,-73.127908,133.54,420,21,1.33,1.151
Ludlock Creek,1,3,40.843394,-72.563803,149.14,540,27,1.4,1.221
Gardiner County Park,1,1,40.694141,-73.273068,72.18,640,32,0.63,0.459
Gardiner County Park,1,2,40.694285,-73.272879,196.37,560,28,0.86,0.689
Gardiner County Park,1,3,40.694379,-73.272723,100.69,220,11,1.16,0.989
Haven Point,1,1,40.803639,-72.734036,64.45,260,13,1.04,0.769
Haven Point,1,2,40.803588,-72.734262,153.28,200,10,1.42,1.149
Haven Point,1,3,40.803534,-72.734394,239.56,160,8,1.69,1.419
Shinnecock Reservation,1,1,40.866481,-72.433817,57.64,320,16,1.56,1.211
Shinnecock Reservation,1,2,40.867482,-72.437893,81.2,380,19,1.3,0.951
Shinnecock Reservation,1,3,40.867699,-72.438111,78.47,240,12,1.48,1.131
Seatuck ,1,1,40.71462703,-73.21081099,150.68,400,20,NA,NA
Seatuck ,1,2,40.71474496,-73.21069499,231.1,460,23,NA,NA
Seatuck ,1,3,40.71488804,-73.21056498,145.15,120,6,NA,NA
Wertheim,1,1,40.77959298,-72.89626096,26.15,160,8,NA,NA
Wertheim,1,2,40.77971804,-72.89661401,231.1,240,12,NA,NA
Wertheim,1,3,40.77983304,-72.896928,145.15,180,9,NA,NA
