Location,Plot,Black gum,Red Maple,White oak,Scarlet oak,Northern Red Oak,Sassafras,Pitch Pine,Black Cherry,Black Oak,Post Oak,Pignut Hickory,Eastern red cedar,American holly,density,trees/sq m,trees/per 9 sq meters,density / acre
Pine Neck,1,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0.034653465346534656,0.31188118811881194,140
Pine Neck,2,13,3,2,0,0,0,0,0,0,0,0,0,0,18,0.0891089108910891,0.8019801980198019,360
Pine Neck,3,3,1,5,7,1,1,0,0,0,0,0,0,0,18,0.0891089108910891,0.8019801980198019,360
Ludlow Creek,1,10,3,0,0,0,0,0,0,0,0,0,0,0,13,0.06435643564356436,0.5792079207920793,260
Ludlow Creek,2,3,10,2,4,0,2,0,0,0,0,0,0,0,21,0.10396039603960396,0.9356435643564356,420
Ludlow Creek,3,2,14,1,7,1,2,0,0,0,0,0,0,0,27,0.13366336633663367,1.2029702970297032,540
Gardiner County Park,1,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0.15841584158415842,1.4257425742574257,640
Gardiner County Park,2,21,4,0,0,0,0,1,2,0,0,0,0,0,28,0.13861386138613863,1.2475247524752477,560
Gardiner County Park,3,1,1,0,0,0,0,0,9,0,0,0,0,0,11,0.054455445544554455,0.4900990099009901,220
Haven Point,1,0,0,8,1,3,0,0,1,0,0,0,0,0,13,0.06435643564356436,0.5792079207920793,260
Haven Point,2,0,0,4,0,3,0,3,0,0,0,0,0,0,10,0.04950495049504951,0.44554455445544555,200
Haven Point,3,0,0,4,1,1,0,0,2,0,0,0,0,0,8,0.039603960396039604,0.3564356435643564,160
Shinnecock Reservation,1,0,0,8,3,0,1,0,0,4,0,0,0,0,16,0.07920792079207921,0.7128712871287128,320
Shinnecock Reservation,2,0,0,7,2,0,2,0,1,6,1,0,0,0,19,0.09405940594059406,0.8465346534653465,380
Shinnecock Reservation,3,0,0,4,2,0,4,0,0,0,0,2,0,0,12,0.0594059405940594,0.5346534653465347,240
Seatuck,1,15,1,0,0,0,0,0,0,0,0,0,0,4,20,0.09900990099009901,0.8910891089108911,400
Seatuck,2,18,1,0,0,0,0,0,0,0,0,0,0,4,23,0.11386138613861387,1.0247524752475248,460
Seatuck,3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0297029702970297,0.26732673267326734,120
Wertheim,1,0,1,4,1,0,0,0,0,0,0,0,2,0,8,0.039603960396039604,0.3564356435643564,160
Wertheim,2,5,0,3,2,0,0,2,0,0,0,0,0,0,12,0.0594059405940594,0.5346534653465347,240
Wertheim,3,0,0,2,6,1,0,0,0,0,0,0,0,0,9,0.04455445544554455,0.40099009900990096,180
