tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,Notes
2.9,1.1417329,0.007109583597495904,0.14219167194991808,1,1,White oak,Quercus alba ,1474,40.803671,-72.734045,1.1,0.828,1.149,11.364782,2024-11-04T15:57:13Z,
3.1,1.2204731000000002,0.00812403072198997,0.16248061443979941,1,1,White oak,Quercus alba ,1472,40.803686,-72.73401,1.08,0.808,1.129,11.327459,2024-11-04T16:07:17Z,
4.4,1.7322844000000002,0.01636641360850425,0.327328272170085,1,1,White oak,Quercus alba ,1470,40.803651,-72.734073,1.16,0.888,1.209,13.025645,2024-11-04T16:14:29Z,
7.0,2.755907,0.04142325758350765,0.828465151670153,1,1,White oak,Quercus alba ,1480,40.803593,-72.734078,1.12,0.848,1.169,8.266993,2024-11-04T15:45:14Z,
7.6,2.9921276,0.048828721592314314,0.9765744318462863,1,1,White oak,Quercus alba ,1471,40.803679,-72.73402,1.08,0.808,1.129,10.086478,2024-11-04T16:09:56Z,
7.7,3.0314977,0.05012214167604425,1.002442833520885,1,1,Northern red oak,Quercus rubra,1477,40.803636,-72.734042,1.0,0.728,1.049,11.103523,2024-11-04T15:51:24Z,
8.0,3.149608,0.054103846639683456,1.0820769327936692,1,1,White oak,Quercus alba ,1476,40.803645,-72.734053,1.08,0.808,1.129,9.638604,2024-11-04T15:51:55Z,
8.1,3.1889781,0.05546489653171299,1.1092979306342599,1,1,White oak,Quercus alba ,1475,40.803666,-72.734045,1.1,0.828,1.149,10.571673,2024-11-04T15:56:55Z,
9.5,3.7401595000000003,0.07629487748799113,1.5258975497598226,1,1,Northern red oak,Quercus rubra,1473,40.803691,-72.734042,1.14,0.868,1.189,9.750573,2024-11-04T15:58:40Z,
16.5,6.4960665,0.23015269136959096,4.603053827391819,1,1,Northern red oak,Quercus rubra,1481,40.80358,-72.734077,1.26,0.988,1.309,9.927856,2024-11-04T15:44:01Z,
20.5,8.0708705,0.35526783672385887,7.105356734477177,1,1,Scarlet oak,Quercus coccinea,1478,40.803635,-72.734053,1.06,0.788,1.109,9.349353,2024-11-04T15:49:08Z,
23.1,9.094493100000001,0.4510992750843984,9.021985501687968,1,1,Black cherry,Prunus serotina,1479,40.803592,-72.734115,1.13,0.858,1.179,8.873487,2024-11-04T15:47:32Z,Tipped over and partially uprooted
46.5,18.3070965,1.8279069124477427,36.558138248954855,1,1,White oak,Quercus alba ,1482,40.803589,-72.734073,1.2,0.928,1.249,9.927856,2024-11-04T15:42:50Z,
3.7,1.4566937000000002,0.011573150945269792,0.23146301890539583,1,2,White oak,Quercus alba ,1484,40.803613,-72.734139,1.07,0.798,1.119,12.531119,2024-11-04T15:32:24Z,
8.4,3.3070884000000005,0.05964949092025102,1.1929898184050205,1,2,White oak,Quercus alba ,1490,40.803569,-72.734213,1.19,0.918,1.239,12.391159,2024-11-04T15:16:36Z,
11.7,4.6063017,0.11572305572666045,2.314461114533209,1,2,Northern red oak,Quercus rubra,1491,40.803631,-72.73437,1.61,1.338,1.659,7.903096,2024-11-04T15:12:19Z,
13.0,5.118113,0.14286797003291413,2.8573594006582823,1,2,Northern red oak,Quercus rubra,1485,40.803622,-72.734193,1.24,0.968,1.289,9.265377,2024-11-04T15:31:04Z,
16.0,6.299216,0.21641538655873382,4.328307731174677,1,2,White oak,Quercus alba ,1487,40.80357,-72.734232,1.37,1.098,1.419,9.71325,2024-11-04T15:24:45Z,
24.9,9.803154900000001,0.524139468047971,10.48278936095942,1,2,White oak,Quercus alba ,1486,40.803624,-72.734205,1.28,1.008,1.329,9.190731,2024-11-04T15:28:52Z,
26.1,10.275596100000001,0.5758762713971683,11.517525427943367,1,2,Northern red oak,Quercus rubra,1483,40.80361,-72.734131,1.09,0.818,1.139,10.982224,2024-11-04T15:32:46Z,
30.3,11.9291403,0.7761281337722966,15.522562675445933,1,2,Pitch pine,Pinus rigida,1492,40.803633,-72.7344,1.52,1.248,1.569,7.903096,2024-11-04T15:10:16Z,
50.4,19.8425304,2.1473816731290367,42.94763346258073,1,2,Pitch pine,Pinus rigida,1488,40.803634,-72.734327,1.51,1.238,1.559,10.618327,2024-11-04T15:20:08Z,
60.5,23.8189105,3.0942750728578337,61.88550145715667,1,2,Pitch pine,Pinus rigida,1489,40.803617,-72.734251,1.36,1.088,1.409,8.453607,2024-11-04T15:18:31Z,
3.0,1.181103,0.007608353433705486,0.1521670686741097,1,3,Black cherry,Prunus serotina,1500,40.803566000000004,-72.73448,1.61,1.338,1.659,7.128648,2024-11-04T14:46:45Z,
4.3,1.6929143,0.015630939443246047,0.31261878886492095,1,3,White oak,Quercus alba ,1494,40.803634,-72.734475,1.84,1.568,1.889,7.903096,2024-11-04T15:01:46Z,
4.7,1.8503947000000003,0.018674280816728245,0.3734856163345649,1,3,Black cherry,Prunus serotina,1493,40.80364,-72.734468,1.8,1.528,1.849,7.903096,2024-11-04T15:03:48Z,
15.7,6.1811057,0.20837589309711835,4.1675178619423665,1,3,White oak,Quercus alba ,1495,40.803641,-72.734471,1.8,1.528,1.849,7.903096,2024-11-04T15:00:31Z,
22.4,8.8189024,0.42417415765511834,8.483483153102366,1,3,White oak,Quercus alba ,1497,40.803626,-72.734441,1.64,1.368,1.689,6.699437,2024-11-04T14:54:44Z,
30.7,12.086620700000001,0.796755225303676,15.935104506073522,1,3,Northern red oak,Quercus rubra,1498,40.803582,-72.734447,1.73,1.458,1.779,7.55786,2024-11-04T14:51:46Z,
64.4,25.354344400000002,3.5060645218680877,70.12129043736175,1,3,White oak,Quercus alba ,1496,40.803547,-72.73451,1.65,1.378,1.699,7.333924,2024-11-04T14:56:22Z,
91.0,35.826791,7.000530531612792,140.01061063225586,1,3,Scarlet oak,Quercus coccinea,1499,40.803551,-72.734491,1.65,1.378,1.699,8.173686,2024-11-04T14:49:12Z,
